x,y,label
0.173552,0.167312,5
-0.089595,1.470362,0
-0.048144,-0.758000,4
1.267845,-0.380322,1
0.031388,-0.658511,9
0.027926,-0.472309,2
0.416615,0.177483,1
-0.107456,-0.079824,3
0.361500,0.136508,1
-0.024992,-0.732256,4
0.300333,-0.046609,3
0.070456,-0.408874,5
0.542644,0.310207,3
-0.165375,-0.749433,6
0.413237,0.185498,1
-0.153857,-1.412329,7
0.027926,-0.472309,2
-0.144932,-0.360648,8
0.195837,0.011217,6
0.322788,-0.450700,9
-0.047963,-0.762505,4
-0.025365,1.451162,0
0.244163,-0.624183,9
1.302497,-0.376752,1
0.161319,-0.275001,1
0.051441,-0.159518,2
0.298490,-0.220796,4
0.278901,0.157128,3
0.154677,-0.387029,2
0.711184,-0.276365,7
0.318229,-0.098136,3
-0.243970,-0.422877,8
-0.017676,-0.559389,6
0.262749,-1.113241,9
-0.203503,0.033694,0
0.102953,-0.330180,5
-0.030915,-0.556502,6
-0.285179,0.530749,0
0.114243,-0.562822,7
-0.029788,-0.554889,6
0.316604,0.238348,1
0.044780,-0.290156,8
0.373602,-0.047255,7
0.297317,-0.406966,9
0.441442,0.050231,3
-0.031967,-0.782707,9
0.190429,-0.165941,8
-0.091036,-0.149322,5
0.475616,0.199372,9
0.204683,0.139320,3
0.452866,0.278143,3
0.035817,1.317783,0
-0.099261,-0.853950,7
0.317822,-0.323768,4
-0.081467,-0.824574,9
0.063266,0.023347,8
0.324667,1.637380,0
0.132852,-0.675044,9
0.067193,-0.576589,4
1.444262,-0.310256,1
-0.055981,-0.754116,4
0.353394,-0.343965,4
0.077738,-0.297447,6
-0.156048,0.784582,0
-0.094884,-0.773786,4
0.170856,-0.313882,5
0.011615,-0.495634,6
0.454148,-0.067759,1
0.698928,1.637260,0
0.096896,0.416300,0
0.355091,0.036748,1
0.174465,-0.998492,7
0.359551,0.225629,1
-0.078774,-0.625086,6
0.540627,0.400351,3
-0.165144,0.655066,0
0.482997,0.064958,2
1.135559,-0.236946,1
0.949554,-0.356637,1
0.286243,-1.063757,7
0.258053,0.449111,9
-0.231958,0.553285,0
-0.025573,-0.548852,2
-0.117289,-0.680349,6
0.122413,-0.446204,7
0.036185,-0.266098,8
0.469116,0.228226,3
-0.154828,-1.054388,9
0.403139,1.435068,0
-0.206557,-1.225740,4
-0.140637,-0.713880,6
-0.099243,-1.249737,7
0.098824,-0.610439,4
-0.071191,-0.614213,6
0.117902,-0.036046,8
-0.209091,0.938434,0
0.221252,-0.461653,7
-0.014103,-0.213755,8
0.495444,0.281112,3
0.838075,-0.247170,1
0.250334,-0.177468,5
-0.145602,-0.965259,7
0.421509,0.237151,1
-0.015481,-0.940763,7
0.314059,0.055693,1
0.903617,-0.174499,1
0.006090,-0.504412,6
0.071559,-0.153946,3
0.745078,1.850342,0
0.140718,-0.351585,2
0.000234,-0.743789,9
0.200831,0.188839,3
0.324299,0.225921,1
1.242427,-0.391759,1
0.016443,2.079780,0
-0.162514,-1.000785,4
-0.092703,-0.909457,9
0.105474,-0.111839,2
0.101990,0.984869,0
-0.270694,1.860017,0
0.157756,-0.117071,2
0.417608,2.041102,0
0.027926,-0.472309,2
-0.005667,-1.408124,7
0.324799,0.070174,1
0.150139,-0.159347,8
0.011075,-0.499187,6
-0.006449,-0.604946,4
0.364511,0.305109,1
0.027926,-0.472309,6
0.521900,0.356392,3
-0.055205,-1.141519,4
0.322394,0.134433,5
0.309199,-0.311141,9
0.324262,-0.130378,1
0.058000,-0.192609,3
0.567894,0.323121,3
0.295338,-0.242961,8
0.286790,0.335462,5
-0.096015,-0.837465,4
0.332802,-0.052644,7
0.597765,-0.678621,7
0.139433,-0.534902,4
0.095072,-0.399820,2
0.349397,0.045326,8
0.132827,-0.332311,5
-0.149497,-0.289077,8
-0.070771,-0.613612,6
0.140669,-0.541972,7
0.396759,0.249099,3
0.043129,-0.352631,4
-0.122240,-0.687458,6
0.383998,0.160961,1
0.305511,-0.483853,9
0.030724,-0.604634,9
-0.110552,-0.670678,6
0.044353,1.735199,0
-0.063061,-0.217279,3
0.069946,-0.626806,7
-0.001299,-0.472703,2
0.258948,-0.199954,8
-0.019967,-0.066359,2
0.195844,-0.463142,9
0.085636,-0.519177,4
-0.068265,-0.841507,4
-0.110362,-0.670405,6
